id,area,bathrooms,bedrooms,condo_fee,parking_spots,attached_rooms,type,lat,lon,year_built,overall_condition,has_elevator,leasures_available,price
794,380,6,4,0,3,3,house,-5.8552043,-35.2200866,1974,Score 3,Yes,,500000
199,60,2,2,0,1,1,apartment,-5.8089827,-35.2272512,,Score 6,y,,207480
1849,430,,,0,8,4,house,-5.8437235,,1980,Score 4,y,barbecue space,800000
33,55,2,2,280,0,1,apartment,-5.8821365,-35.1722172,1991,Score 5,yes,sports court,208900
179,50,2,2,420,1,2,apartment,-5.8661242,-35.1827698,2002,Score 4,y,"BARBECUE SPACE,playground",210000
2655,186,5,4,790,3,3,apartment,-5.8089286,-35.2013139,1966,Score 5,Yes,"playground,SPORTS COURT",1030000
1161,103,4,3,0,2,3,apartment,-5.8347074,-35.2243579,1998,Score 5,yes,,350000
315,52,2,2,360,1,1,apartment,-5.8821365,-35.1722172,1993,Score 5,y,POOL,190000
2223,92,2,3,650,2,1,apartment,-5.8297618,-35.2263235,1998,Score 4,Yes,"PLAYGROUND,SPORTS COURT",399000
3658,55,2,2,0,1,1,apartment,-5.8855448,-35.1775819,,Score 6,yes,,288000
3613,94,2,3,0,2,1,apartment,-5.8897065,-35.1728883,1998,Score 5,yes,,300000
1044,80,3,3,350,2,3,apartment,-5.8208253,-35.2081237,1970,Score 5,Yes,"BARBECUE SPACE,playground,SPORTS COURT",370000
468,93,3,2,0,2,1,apartment,-5.8226937,-35.2126403,,Score 4,Yes,,330000
3271,240,3,4,0,2,2,house,-5.8129617,-35.2212102,,Score 5,y,,450000
4651,195,1,3,0,2,0,house,-5.7978488,-35.2092207,1995,Score 4,Yes,,260000
4754,90,3,3,300,2,1,apartment,-5.8274696,-35.2168565,2006,Score 5,No,PLAYGROUND,321000
1200,56,1,2,485,0,1,apartment,-5.8032096,-35.2002054,1969,Score 5,Yes,"POOL,barbecue space,playground,sports court",270000
1592,57,1,2,310,1,1,apartment,-5.8666079,-35.2088062,1994,Score 6,No,"BARBECUE SPACE,SPORTS COURT",240000
3751,120,3,3,0,3,2,house,-5.8507611,-35.2411227,2004,Score 4,y,,199000
144,57,2,2,300,1,1,apartment,-5.8654192,-35.2097736,,Score 4,nop,SPORTS COURT,210000
805,65,1,2,615,1,1,apartment,-5.8032096,-35.2002054,1989,Score 5,Yes,"POOL,barbecue space,gym,PLAYGROUND,SPORTS COURT",200000
642,52,2,2,0,0,2,other,-5.8821365,-35.1722172,,Score 4,yes,,220000
2876,57,2,2,437,2,1,apartment,-5.8576398,-35.2014489,2000,Score 7,Yes,"BARBECUE SPACE,playground",345000
2405,70,2,2,0,1,0,apartment,-5.8502797,-35.2034748,2003,Score 4,No,,150000
4315,24,1,1,650,0,0,apartment,-5.8730875,-35.1800373,,Score 5,Yes,"POOL,barbecue space,playground,sports court",140000
2649,49,1,2,0,1,0,apartment,-5.8768735,-35.2236066,,Score 5,y,,190000
838,193,5,3,0,3,3,apartment,-5.7997946,-35.1979747,1975,Score 5,Yes,,776500
